date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:21	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://mamacitaitaliana.godaddysites.com/robots.txt		(from )
16:26:23	72973/72973	---MCZ	200	added ('OK')	text/html	etag:e650b20e0bfed50a381f5ced2d52f1d9	https://mamacitaitaliana.godaddysites.com/	C:/Mis%20lugares%20Web/Mamacita/mamacitaitaliana.godaddysites.com/index.html	(from )
16:26:23	630/630	---M--	200	added ('OK')	image/png	etag:3855667795	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:16,h:16,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_16,h_16,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:24	927/927	---M--	200	added ('OK')	image/png	etag:4037963600	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:24,h:24,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_24,h_24,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:24	1236/1236	---M--	200	added ('OK')	image/png	etag:2722951267	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:32,h:32,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_32,h_32,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:24	2130/2130	---M--	200	added ('OK')	image/png	etag:1641999358	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:48,h:48,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_48,h_48,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:24	2652/2652	---M--	200	added ('OK')	image/png	etag:1902062195	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:64,h:64,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_64,h_64,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:24	533/533	---MCZ	200	added ('OK')	application/manifest+json	etag:ac722de650003fa085cbf6095bc960dc	https://mamacitaitaliana.godaddysites.com/manifest.webmanifest	C:/Mis%20lugares%20Web/Mamacita/mamacitaitaliana.godaddysites.com/manifest.webmanifest	(from https://mamacitaitaliana.godaddysites.com/)
16:26:25	2556/2556	---M--	200	added ('OK')	image/png	etag:1365107256	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:57,h:57,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_57,h_57,m.png	(from https://mamacitaitaliana.godaddysites.com/)
16:26:25	2526/2526	---M--	200	added ('OK')	image/png	etag:1477604956	http://img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/:/rs=w:60,h:60,m	C:/Mis%20lugares%20Web/Mamacita/img1.wsimg.com/isteam/ip/48d130f7-2535-4e11-879b-5c8c9b2fbb3b/favicon/8d14a2ac-af79-488b-a964-f5a3ed59ede8.png/_/rs=w_60,h_60,m.png	(from https://mamacitaitaliana.godaddysites.com/)
